日期,凭证号,科目编码,科目名称,借方金额,贷方金额,摘要,制单人
2025-11-30,记-0001,1002,银行存款,193521.1,0.0,银行存款-实收资本,李四
2025-11-30,记-0001,4001,实收资本,0.0,193521.1,银行存款-资本注入,王五
2025-11-30,记-0002,6401,主营业务成本,13664.23,0.0,产品成本-银行贷款,王五
2025-11-30,记-0002,2001,短期借款,0.0,13664.23,营业成本-银行贷款,赵六
2025-11-30,记-0003,2001,短期借款,24501.37,0.0,银行贷款-银行取款,张三
2025-11-30,记-0003,1002,银行存款,0.0,24501.37,短期借款-电汇,赵六
2025-11-30,记-0004,2001,短期借款,26272.92,0.0,短期借款-销售回款,王五
2025-11-30,记-0004,1121,应收账款,0.0,26272.92,银行贷款-应收账款,赵六
2025-11-30,记-0005,6603,财务费用,27291.0,0.0,财务费用-供应商付款,张三
2025-11-30,记-0005,2202,应付账款,0.0,27291.0,手续费-应付账款,王五
2025-12-01,记-0006,2202,应付账款,24603.41,0.0,采购付款-销售成本,王五
2025-12-01,记-0006,6401,主营业务成本,0.0,24603.41,应付账款-营业成本,张三
2025-12-01,记-0007,1601,固定资产,46681.56,0.0,设备购买-实收资本,赵六
2025-12-01,记-0007,4001,实收资本,0.0,46681.56,固定资产购置-资本注入,李四
2025-12-01,记-0008,1401,材料采购,25865.79,0.0,原材料购买-营业外收入,王五
2025-12-01,记-0008,6001,主营业务收入,0.0,25865.79,材料采购-营业外收入,王五
2025-12-01,记-0009,1002,银行存款,18564.57,0.0,银行转账-广告费,王五
2025-12-01,记-0009,6601,销售费用,0.0,18564.57,银行存款-广告费,张三
2025-12-01,记-0010,1002,银行存款,33036.26,0.0,银行取款-应付账款,张三
2025-12-01,记-0010,2202,应付账款,0.0,33036.26,银行存款-采购付款,王五
2025-12-02,记-0011,1601,固定资产,42716.76,0.0,资产投资-产品成本,张三
2025-12-02,记-0011,6401,主营业务成本,0.0,42716.76,资产投资-营业成本,赵六
2025-12-02,记-0012,6001,主营业务收入,17855.31,0.0,服务收入-现金支出,王五
2025-12-02,记-0012,1001,库存现金,0.0,17855.31,服务收入-现金存入,赵六
2025-12-02,记-0013,1401,材料采购,27024.55,0.0,采购付款-银行转账,王五
2025-12-02,记-0013,1002,银行存款,0.0,27024.55,采购付款-银行存款,赵六
2025-12-02,记-0014,6601,销售费用,30728.93,0.0,营销费用-营业成本,王五
2025-12-02,记-0014,6401,主营业务成本,0.0,30728.93,广告费-销售成本,王五
2025-12-02,记-0015,1121,应收账款,46217.74,0.0,应收账款-借款,李四
2025-12-02,记-0015,2001,短期借款,0.0,46217.74,应收账款-借款,赵六
2025-12-02,记-0016,1002,银行存款,185268.76,0.0,银行转账-实收资本,张三
2025-12-02,记-0016,4001,实收资本,0.0,185268.76,银行转账-资本注入,王五
2025-12-02,记-0017,6401,主营业务成本,38293.21,0.0,营业成本-生产成本,张三
2025-12-02,记-0017,5001,生产成本,0.0,38293.21,销售成本-生产成本,李四
2025-12-03,记-0018,1002,银行存款,25712.92,0.0,银行存款-利息支出,王五
2025-12-03,记-0018,6603,财务费用,0.0,25712.92,银行存款-手续费,王五
2025-12-03,记-0019,1001,库存现金,9337.88,0.0,现金存入-制造费用,李四
2025-12-03,记-0019,5001,生产成本,0.0,9337.88,现金提取-制造费用,王五
2025-12-03,记-0020,2202,应付账款,8273.28,0.0,采购付款-生产成本,张三
2025-12-03,记-0020,5001,生产成本,0.0,8273.28,采购付款-生产成本,赵六
2025-12-04,记-0021,5001,生产成本,14331.98,0.0,制造费用-营销费用,王五
2025-12-04,记-0021,6601,销售费用,0.0,14331.98,生产支出-销售费用,王五
2025-12-04,记-0022,6001,主营业务收入,22540.12,0.0,服务收入-银行存款,张三
2025-12-04,记-0022,1002,银行存款,0.0,22540.12,营业外收入-银行存款,王五
2025-12-04,记-0023,5001,生产成本,30040.39,0.0,生产成本-原材料购买,王五
2025-12-04,记-0023,1401,材料采购,0.0,30040.39,生产支出-采购付款,赵六
2025-12-04,记-0024,6401,主营业务成本,10368.62,0.0,销售成本-应收账款,赵六
2025-12-04,记-0024,1121,应收账款,0.0,10368.62,销售成本-应收账款,赵六
2025-12-04,记-0025,6602,管理费用,30353.9,0.0,办公费用-现金提取,李四
2025-12-04,记-0025,1001,库存现金,0.0,30353.9,办公费用-现金支出,王五
2025-12-04,记-0026,6601,销售费用,46500.19,0.0,广告费-产品成本,赵六
2025-12-04,记-0026,6401,主营业务成本,0.0,46500.19,销售费用-营业成本,赵六
2025-12-04,记-0027,6603,财务费用,19665.36,0.0,财务费用-营业成本,张三
2025-12-04,记-0027,6401,主营业务成本,0.0,19665.36,手续费-营业成本,王五
2025-12-04,记-0028,4001,实收资本,5084.74,0.0,资本注入-原材料购买,张三
2025-12-04,记-0028,1401,材料采购,0.0,5084.74,实收资本-原材料购买,张三
2025-12-05,记-0029,6603,财务费用,24131.25,0.0,手续费-现金提取,赵六
2025-12-05,记-0029,1001,库存现金,0.0,24131.25,手续费-现金存入,王五
2025-12-05,记-0030,1601,固定资产,23889.78,0.0,资产投资-制造费用,张三
2025-12-05,记-0030,5001,生产成本,0.0,23889.78,资产投资-生产成本,李四
2025-12-05,记-0031,1002,银行存款,21555.34,0.0,银行取款-产品成本,张三
2025-12-05,记-0031,6401,主营业务成本,0.0,21555.34,银行取款-营业成本,王五
2025-12-05,记-0032,1001,库存现金,6971.9,0.0,现金支出-供应商付款,张三
2025-12-05,记-0032,2202,应付账款,0.0,6971.9,现金支出-应付账款,李四
2025-12-05,记-0033,1002,银行存款,151659.55,0.0,银行转账-借款,张三
2025-12-05,记-0033,2001,短期借款,0.0,151659.55,银行存款-借款,赵六
2025-12-06,记-0034,1601,固定资产,85511.07,0.0,设备购买-银行贷款,李四
2025-12-06,记-0034,2001,短期借款,0.0,85511.07,固定资产购置-短期借款,李四
2025-12-06,记-0035,1001,库存现金,18956.94,0.0,现金收入-营业外收入,赵六
2025-12-06,记-0035,6001,主营业务收入,0.0,18956.94,现金提取-销售收入,赵六
2025-12-06,记-0036,1001,库存现金,13017.66,0.0,现金存入-营业外收入,赵六
2025-12-06,记-0036,6001,主营业务收入,0.0,13017.66,现金提取-销售收入,赵六
2025-12-06,记-0037,1001,库存现金,7724.08,0.0,现金支出-销售收入,赵六
2025-12-06,记-0037,6001,主营业务收入,0.0,7724.08,现金提取-营业外收入,张三
2025-12-06,记-0038,6001,主营业务收入,29684.51,0.0,营业外收入-固定资产购置,李四
2025-12-06,记-0038,1601,固定资产,0.0,29684.51,服务收入-资产投资,赵六
2025-12-07,记-0039,1601,固定资产,87265.22,0.0,设备购买-借款,张三
2025-12-07,记-0039,2001,短期借款,0.0,87265.22,设备购买-银行贷款,王五
2025-12-07,记-0040,6401,主营业务成本,4189.16,0.0,营业成本-客户付款,李四
2025-12-07,记-0040,1121,应收账款,0.0,4189.16,产品成本-应收账款,赵六
2025-12-08,记-0041,6001,主营业务收入,1688.05,0.0,营业外收入-银行转账,李四
2025-12-08,记-0041,1002,银行存款,0.0,1688.05,销售收入-银行存款,李四
2025-12-08,记-0042,1121,应收账款,21436.55,0.0,销售回款-固定资产购置,赵六
2025-12-08,记-0042,1601,固定资产,0.0,21436.55,客户付款-资产投资,李四
2025-12-08,记-0043,1121,应收账款,22268.18,0.0,销售回款-资产投资,张三
2025-12-08,记-0043,1601,固定资产,0.0,22268.18,销售回款-资产投资,王五
2025-12-08,记-0044,1601,固定资产,10748.22,0.0,固定资产购置-应收账款,王五
2025-12-08,记-0044,1121,应收账款,0.0,10748.22,设备购买-客户付款,张三
2025-12-08,记-0045,6601,销售费用,45296.57,0.0,营销费用-银行存款,张三
2025-12-08,记-0045,1002,银行存款,0.0,45296.57,营销费用-银行取款,赵六
2025-12-08,记-0046,6401,主营业务成本,38643.15,0.0,营业成本-银行取款,赵六
2025-12-08,记-0046,1002,银行存款,0.0,38643.15,销售成本-电汇,王五
2025-12-08,记-0047,1401,材料采购,12091.1,0.0,原材料购买-利息支出,张三
2025-12-08,记-0047,6603,财务费用,0.0,12091.1,采购付款-财务费用,张三
2025-12-08,记-0048,6603,财务费用,3960.8,0.0,利息支出-股东投资,王五
2025-12-08,记-0048,4001,实收资本,0.0,3960.8,利息支出-实收资本,李四
2025-12-09,记-0049,2202,应付账款,27491.82,0.0,采购付款-资产投资,李四
2025-12-09,记-0049,1601,固定资产,0.0,27491.82,供应商付款-设备购买,张三
2025-12-09,记-0050,4001,实收资本,2066.7,0.0,实收资本-利息支出,王五
2025-12-09,记-0050,6603,财务费用,0.0,2066.7,实收资本-利息支出,王五
2025-12-09,记-0051,1601,固定资产,17449.42,0.0,固定资产购置-办公费用,张三
2025-12-09,记-0051,6602,管理费用,0.0,17449.42,固定资产购置-办公费用,李四
2025-12-09,记-0052,1601,固定资产,105668.06,0.0,固定资产购置-银行贷款,张三
2025-12-09,记-0052,2001,短期借款,0.0,105668.06,固定资产购置-银行贷款,赵六
2025-12-10,记-0053,1002,银行存款,183121.66,0.0,电汇-银行贷款,李四
2025-12-10,记-0053,2001,短期借款,0.0,183121.66,电汇-借款,赵六
2025-12-10,记-0054,2001,短期借款,28857.98,0.0,借款-客户付款,王五
2025-12-10,记-0054,1121,应收账款,0.0,28857.98,银行贷款-应收账款,张三
2025-12-11,记-0055,6001,主营业务收入,45082.14,0.0,销售收入-现金提取,赵六
2025-12-11,记-0055,1001,库存现金,0.0,45082.14,服务收入-现金存入,赵六
2025-12-11,记-0056,1001,库存现金,155480.58,0.0,现金收入-短期借款,王五
2025-12-11,记-0056,2001,短期借款,0.0,155480.58,现金提取-借款,赵六
2025-12-11,记-0057,1121,应收账款,10995.72,0.0,销售回款-设备购买,王五
2025-12-11,记-0057,1601,固定资产,0.0,10995.72,销售回款-资产投资,张三
2025-12-11,记-0058,6001,主营业务收入,23376.2,0.0,服务收入-手续费,张三
2025-12-11,记-0058,6603,财务费用,0.0,23376.2,营业外收入-手续费,李四
2025-12-11,记-0059,2202,应付账款,17721.05,0.0,供应商付款-营业成本,赵六
2025-12-11,记-0059,6401,主营业务成本,0.0,17721.05,应付账款-营业成本,张三
2025-12-11,记-0060,6603,财务费用,8976.64,0.0,手续费-借款,赵六
2025-12-11,记-0060,2001,短期借款,0.0,8976.64,手续费-短期借款,赵六
2025-12-11,记-0061,1001,库存现金,190838.94,0.0,现金提取-借款,赵六
2025-12-11,记-0061,2001,短期借款,0.0,190838.94,现金提取-借款,赵六
2025-12-11,记-0062,2001,短期借款,27183.86,0.0,银行贷款-银行取款,王五
2025-12-11,记-0062,1002,银行存款,0.0,27183.86,借款-电汇,王五
2025-12-12,记-0063,2202,应付账款,33016.8,0.0,供应商付款-服务收入,李四
2025-12-12,记-0063,6001,主营业务收入,0.0,33016.8,供应商付款-销售收入,王五
2025-12-12,记-0064,2202,应付账款,28770.59,0.0,应付账款-现金支出,张三
2025-12-12,记-0064,1001,库存现金,0.0,28770.59,采购付款-现金存入,赵六
2025-12-12,记-0065,4001,实收资本,6574.93,0.0,实收资本-管理费用,李四
2025-12-12,记-0065,6602,管理费用,0.0,6574.93,资本注入-管理费用,王五
2025-12-12,记-0066,1001,库存现金,134367.88,0.0,现金提取-银行贷款,李四
2025-12-12,记-0066,2001,短期借款,0.0,134367.88,现金存入-短期借款,张三
2025-12-12,记-0067,4001,实收资本,47428.28,0.0,股东投资-客户付款,张三
2025-12-12,记-0067,1121,应收账款,0.0,47428.28,股东投资-客户付款,张三
2025-12-12,记-0068,6001,主营业务收入,26878.49,0.0,营业外收入-产品成本,李四
2025-12-12,记-0068,6401,主营业务成本,0.0,26878.49,服务收入-销售成本,赵六
2025-12-12,记-0069,1001,库存现金,14994.07,0.0,现金提取-短期借款,李四
2025-12-12,记-0069,2001,短期借款,0.0,14994.07,现金存入-银行贷款,王五
2025-12-13,记-0070,1401,材料采购,8627.55,0.0,原材料购买-采购付款,李四
2025-12-13,记-0070,2202,应付账款,0.0,8627.55,材料采购-供应商付款,张三
2025-12-13,记-0071,1002,银行存款,29904.1,0.0,银行取款-现金提取,张三
2025-12-13,记-0071,1001,库存现金,0.0,29904.1,银行取款-现金支出,张三
2025-12-13,记-0072,1001,库存现金,3739.5,0.0,现金支出-服务收入,王五
2025-12-13,记-0072,6001,主营业务收入,0.0,3739.5,现金存入-营业外收入,赵六
2025-12-13,记-0073,6602,管理费用,13966.37,0.0,管理费用-现金收入,李四
2025-12-13,记-0073,1001,库存现金,0.0,13966.37,管理费用-现金提取,张三
2025-12-13,记-0074,6603,财务费用,32036.24,0.0,财务费用-营销费用,王五
2025-12-13,记-0074,6601,销售费用,0.0,32036.24,手续费-营销费用,张三
2025-12-13,记-0075,1121,应收账款,9148.03,0.0,销售回款-采购付款,赵六
2025-12-13,记-0075,2202,应付账款,0.0,9148.03,客户付款-供应商付款,赵六
2025-12-14,记-0076,1001,库存现金,17450.72,0.0,现金收入-服务收入,李四
2025-12-14,记-0076,6001,主营业务收入,0.0,17450.72,现金收入-销售收入,赵六
2025-12-14,记-0077,2001,短期借款,9895.56,0.0,短期借款-供应商付款,王五
2025-12-14,记-0077,2202,应付账款,0.0,9895.56,短期借款-供应商付款,王五
2025-12-14,记-0078,1001,库存现金,9748.13,0.0,现金支出-销售收入,王五
2025-12-14,记-0078,6001,主营业务收入,0.0,9748.13,现金提取-销售收入,李四
2025-12-14,记-0079,4001,实收资本,3552.88,0.0,实收资本-银行贷款,李四
2025-12-14,记-0079,2001,短期借款,0.0,3552.88,实收资本-借款,张三
2025-12-15,记-0080,6602,管理费用,20190.14,0.0,管理费用-销售回款,王五
2025-12-15,记-0080,1121,应收账款,0.0,20190.14,管理费用-销售回款,李四
2025-12-15,记-0081,4001,实收资本,21302.3,0.0,资本注入-营业成本,赵六
2025-12-15,记-0081,6401,主营业务成本,0.0,21302.3,实收资本-销售成本,张三
2025-12-15,记-0082,6001,主营业务收入,36114.68,0.0,服务收入-固定资产购置,赵六
2025-12-15,记-0082,1601,固定资产,0.0,36114.68,服务收入-资产投资,王五
2025-12-15,记-0083,6401,主营业务成本,24934.69,0.0,销售成本-采购付款,赵六
2025-12-15,记-0083,2202,应付账款,0.0,24934.69,营业成本-应付账款,张三
2025-12-15,记-0084,2001,短期借款,38835.21,0.0,借款-利息支出,张三
2025-12-15,记-0084,6603,财务费用,0.0,38835.21,银行贷款-利息支出,赵六
2025-12-15,记-0085,1601,固定资产,122947.92,0.0,固定资产购置-借款,张三
2025-12-15,记-0085,2001,短期借款,0.0,122947.92,资产投资-短期借款,李四
2025-12-16,记-0086,1001,库存现金,26602.86,0.0,现金收入-客户付款,张三
2025-12-16,记-0086,1121,应收账款,0.0,26602.86,现金支出-客户付款,王五
2025-12-16,记-0087,6601,销售费用,42252.89,0.0,销售费用-借款,张三
2025-12-16,记-0087,2001,短期借款,0.0,42252.89,广告费-银行贷款,张三
2025-12-16,记-0088,1121,应收账款,18350.16,0.0,应收账款-银行转账,赵六
2025-12-16,记-0088,1002,银行存款,0.0,18350.16,应收账款-银行转账,李四
2025-12-16,记-0089,6603,财务费用,4101.11,0.0,利息支出-应收账款,赵六
2025-12-16,记-0089,1121,应收账款,0.0,4101.11,财务费用-客户付款,王五
2025-12-17,记-0090,2001,短期借款,10030.78,0.0,借款-利息支出,李四
2025-12-17,记-0090,6603,财务费用,0.0,10030.78,借款-财务费用,王五
2025-12-17,记-0091,5001,生产成本,26883.03,0.0,制造费用-固定资产购置,李四
2025-12-17,记-0091,1601,固定资产,0.0,26883.03,制造费用-设备购买,王五
2025-12-17,记-0092,6603,财务费用,39332.87,0.0,利息支出-生产成本,王五
2025-12-17,记-0092,5001,生产成本,0.0,39332.87,财务费用-生产支出,张三
2025-12-17,记-0093,1601,固定资产,138466.72,0.0,固定资产购置-实收资本,张三
2025-12-17,记-0093,4001,实收资本,0.0,138466.72,设备购买-实收资本,李四
2025-12-18,记-0094,1601,固定资产,180951.97,0.0,资产投资-短期借款,张三
2025-12-18,记-0094,2001,短期借款,0.0,180951.97,固定资产购置-借款,李四
2025-12-18,记-0095,1002,银行存款,5433.96,0.0,银行转账-设备购买,赵六
2025-12-18,记-0095,1601,固定资产,0.0,5433.96,银行取款-设备购买,赵六
2025-12-19,记-0096,1601,固定资产,2616.62,0.0,设备购买-营业外收入,张三
2025-12-19,记-0096,6001,主营业务收入,0.0,2616.62,固定资产购置-服务收入,李四
2025-12-19,记-0097,6601,销售费用,45912.47,0.0,营销费用-服务收入,李四
2025-12-19,记-0097,6001,主营业务收入,0.0,45912.47,销售费用-营业外收入,王五
2025-12-19,记-0098,1601,固定资产,150596.95,0.0,设备购买-银行贷款,张三
2025-12-19,记-0098,2001,短期借款,0.0,150596.95,资产投资-短期借款,赵六
2025-12-19,记-0099,2001,短期借款,17531.03,0.0,借款-设备购买,赵六
2025-12-19,记-0099,1601,固定资产,0.0,17531.03,短期借款-固定资产购置,王五
2025-12-19,记-0100,4001,实收资本,36518.27,0.0,股东投资-现金收入,张三
2025-12-19,记-0100,1001,库存现金,0.0,36518.27,资本注入-现金提取,赵六
2025-12-19,记-0101,1601,固定资产,102892.74,0.0,资产投资-资本注入,李四
2025-12-19,记-0101,4001,实收资本,0.0,102892.74,资产投资-资本注入,李四
2025-12-19,记-0102,6401,主营业务成本,31517.82,0.0,产品成本-营销费用,张三
2025-12-19,记-0102,6601,销售费用,0.0,31517.82,销售成本-销售费用,赵六
2025-12-20,记-0103,1001,库存现金,20990.49,0.0,现金提取-营业外收入,王五
2025-12-20,记-0103,6001,主营业务收入,0.0,20990.49,现金支出-营业外收入,张三
2025-12-20,记-0104,1601,固定资产,103875.42,0.0,资产投资-借款,王五
2025-12-20,记-0104,2001,短期借款,0.0,103875.42,固定资产购置-借款,赵六
2025-12-20,记-0105,6602,管理费用,15417.34,0.0,办公费用-广告费,李四
2025-12-20,记-0105,6601,销售费用,0.0,15417.34,人工成本-广告费,李四
2025-12-21,记-0106,1001,库存现金,15150.22,0.0,现金存入-服务收入,赵六
2025-12-21,记-0106,6001,主营业务收入,0.0,15150.22,现金存入-服务收入,张三
2025-12-21,记-0107,1002,银行存款,194698.16,0.0,电汇-资本注入,王五
2025-12-21,记-0107,4001,实收资本,0.0,194698.16,银行取款-股东投资,赵六
2025-12-21,记-0108,1601,固定资产,191653.4,0.0,固定资产购置-实收资本,赵六
2025-12-21,记-0108,4001,实收资本,0.0,191653.4,设备购买-实收资本,王五
2025-12-21,记-0109,1601,固定资产,33953.11,0.0,资产投资-营业外收入,王五
2025-12-21,记-0109,6001,主营业务收入,0.0,33953.11,设备购买-营业外收入,赵六
2025-12-22,记-0110,6001,主营业务收入,8762.01,0.0,销售收入-电汇,张三
2025-12-22,记-0110,1002,银行存款,0.0,8762.01,营业外收入-银行取款,张三
2025-12-22,记-0111,1001,库存现金,49872.11,0.0,现金提取-客户付款,李四
2025-12-22,记-0111,1121,应收账款,0.0,49872.11,现金收入-客户付款,王五
2025-12-22,记-0112,2202,应付账款,34887.6,0.0,供应商付款-股东投资,张三
2025-12-22,记-0112,4001,实收资本,0.0,34887.6,供应商付款-资本注入,李四
2025-12-22,记-0113,6602,管理费用,11565.49,0.0,办公费用-原材料购买,张三
2025-12-22,记-0113,1401,材料采购,0.0,11565.49,管理费用-采购付款,赵六
2025-12-22,记-0114,1002,银行存款,160478.52,0.0,电汇-资本注入,赵六
2025-12-22,记-0114,4001,实收资本,0.0,160478.52,电汇-资本注入,张三
2025-12-22,记-0115,1601,固定资产,94737.15,0.0,设备购买-银行贷款,王五
2025-12-22,记-0115,2001,短期借款,0.0,94737.15,设备购买-借款,赵六
2025-12-22,记-0116,6401,主营业务成本,23186.51,0.0,营业成本-财务费用,李四
2025-12-22,记-0116,6603,财务费用,0.0,23186.51,营业成本-财务费用,张三
2025-12-22,记-0117,1001,库存现金,122049.1,0.0,现金提取-银行贷款,赵六
2025-12-22,记-0117,2001,短期借款,0.0,122049.1,现金存入-银行贷款,张三
2025-12-23,记-0118,5001,生产成本,46710.07,0.0,生产支出-应付账款,张三
2025-12-23,记-0118,2202,应付账款,0.0,46710.07,制造费用-供应商付款,张三
2025-12-23,记-0119,2001,短期借款,2913.78,0.0,借款-管理费用,张三
2025-12-23,记-0119,6602,管理费用,0.0,2913.78,借款-人工成本,赵六
2025-12-23,记-0120,1002,银行存款,113195.18,0.0,银行转账-实收资本,王五
2025-12-23,记-0120,4001,实收资本,0.0,113195.18,银行取款-资本注入,张三
2025-12-23,记-0121,1001,库存现金,43560.85,0.0,现金收入-手续费,赵六
2025-12-23,记-0121,6603,财务费用,0.0,43560.85,现金收入-财务费用,张三
2025-12-23,记-0122,6401,主营业务成本,38539.35,0.0,营业成本-财务费用,王五
2025-12-23,记-0122,6603,财务费用,0.0,38539.35,营业成本-财务费用,张三
2025-12-23,记-0123,1002,银行存款,146229.98,0.0,银行存款-资本注入,张三
2025-12-23,记-0123,4001,实收资本,0.0,146229.98,银行存款-股东投资,王五
2025-12-23,记-0124,6001,主营业务收入,9119.18,0.0,销售收入-利息支出,王五
2025-12-23,记-0124,6603,财务费用,0.0,9119.18,营业外收入-手续费,赵六
2025-12-24,记-0125,1001,库存现金,94510.32,0.0,现金支出-实收资本,张三
2025-12-24,记-0125,4001,实收资本,0.0,94510.32,现金支出-股东投资,赵六
2025-12-24,记-0126,6602,管理费用,39619.18,0.0,管理费用-短期借款,赵六
2025-12-24,记-0126,2001,短期借款,0.0,39619.18,办公费用-银行贷款,李四
2025-12-25,记-0127,1002,银行存款,134744.83,0.0,银行存款-短期借款,张三
2025-12-25,记-0127,2001,短期借款,0.0,134744.83,电汇-短期借款,赵六
2025-12-25,记-0128,1601,固定资产,103289.59,0.0,设备购买-实收资本,张三
2025-12-25,记-0128,4001,实收资本,0.0,103289.59,资产投资-股东投资,王五
2025-12-25,记-0129,1002,银行存款,41519.51,0.0,银行转账-生产支出,张三
2025-12-25,记-0129,5001,生产成本,0.0,41519.51,电汇-生产支出,赵六
2025-12-25,记-0130,6401,主营业务成本,22851.62,0.0,营业成本-生产成本,李四
2025-12-25,记-0130,5001,生产成本,0.0,22851.62,产品成本-生产支出,赵六
2025-12-26,记-0131,2001,短期借款,38085.37,0.0,借款-采购付款,王五
2025-12-26,记-0131,1401,材料采购,0.0,38085.37,借款-原材料购买,李四
2025-12-26,记-0132,2202,应付账款,32827.04,0.0,供应商付款-利息支出,赵六
2025-12-26,记-0132,6603,财务费用,0.0,32827.04,应付账款-手续费,王五
2025-12-26,记-0133,1002,银行存款,107164.33,0.0,电汇-借款,张三
2025-12-26,记-0133,2001,短期借款,0.0,107164.33,电汇-短期借款,赵六
2025-12-26,记-0134,5001,生产成本,29608.5,0.0,制造费用-现金存入,王五
2025-12-26,记-0134,1001,库存现金,0.0,29608.5,生产支出-现金存入,李四
2025-12-26,记-0135,6001,主营业务收入,41872.36,0.0,销售收入-现金支出,张三
2025-12-26,记-0135,1001,库存现金,0.0,41872.36,营业外收入-现金存入,赵六
2025-12-26,记-0136,4001,实收资本,32548.1,0.0,实收资本-现金支出,王五
2025-12-26,记-0136,1001,库存现金,0.0,32548.1,股东投资-现金支出,赵六
2025-12-27,记-0137,1002,银行存款,92660.41,0.0,电汇-实收资本,李四
2025-12-27,记-0137,4001,实收资本,0.0,92660.41,银行转账-实收资本,张三
2025-12-27,记-0138,1001,库存现金,1005.05,0.0,现金收入-营业外收入,王五
2025-12-27,记-0138,6001,主营业务收入,0.0,1005.05,现金收入-销售收入,李四
2025-12-27,记-0139,1002,银行存款,9495.49,0.0,电汇-销售收入,赵六
2025-12-27,记-0139,6001,主营业务收入,0.0,9495.49,银行存款-服务收入,王五
2025-12-27,记-0140,1601,固定资产,27301.9,0.0,固定资产购置-借款,王五
2025-12-27,记-0140,2001,短期借款,0.0,27301.9,资产投资-短期借款,李四
2025-12-27,记-0141,1001,库存现金,29818.16,0.0,现金支出-营业外收入,赵六
2025-12-27,记-0141,6001,主营业务收入,0.0,29818.16,现金收入-销售收入,王五
2025-12-27,记-0142,1001,库存现金,139515.7,0.0,现金收入-短期借款,赵六
2025-12-27,记-0142,2001,短期借款,0.0,139515.7,现金存入-短期借款,李四
2025-12-27,记-0143,1002,银行存款,196639.81,0.0,银行转账-股东投资,李四
2025-12-27,记-0143,4001,实收资本,0.0,196639.81,银行存款-实收资本,李四
